               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10283,            0.051008,            0.047746,             0.82175,           0.0029309,          0.00086936,          0.00023527,             0.11436,            0.039352,             0.05407,            0.070092,           0.0033231,           0.0033231
                   1,            0.077086,            0.040308,            0.020773,             0.53613,             0.11105,             0.07336,            0.026332,            0.064112,            0.029252,            0.016498,             0.04007,           0.0066345,           0.0066345
                   2,            0.064527,            0.036439,            0.015389,             0.58936,               0.193,             0.14726,            0.058194,            0.055324,            0.028471,            0.013166,            0.010026,           0.0099238,           0.0099238
                   3,            0.055231,            0.033901,            0.012647,             0.70362,             0.23997,             0.24191,             0.10637,            0.047153,            0.023982,            0.010255,            0.009901,            0.009901,            0.009901
                   4,            0.050456,            0.031717,            0.010827,             0.57253,             0.32444,             0.29671,             0.13158,            0.044833,            0.022845,           0.0087351,            0.009901,            0.009901,            0.009901
                   5,            0.047916,            0.030999,           0.0095702,             0.64709,             0.34107,             0.33876,             0.15287,            0.044254,            0.022268,           0.0081299,            0.009868,            0.009868,            0.009868
                   6,            0.046277,            0.030241,           0.0087523,             0.69222,             0.37756,             0.37929,             0.17313,            0.042413,            0.021649,           0.0074297,            0.009835,            0.009835,            0.009835
                   7,            0.045339,             0.02968,            0.008165,             0.75748,               0.388,             0.42523,             0.19553,             0.04151,            0.021353,           0.0063914,            0.009802,            0.009802,            0.009802
                   8,             0.04422,             0.02941,           0.0075365,             0.75178,             0.40299,             0.42661,             0.19907,            0.041362,            0.021368,           0.0062275,            0.009769,            0.009769,            0.009769
                   9,            0.043541,            0.028899,           0.0071503,             0.79272,             0.42669,             0.46471,             0.22345,            0.039501,            0.020472,           0.0054265,            0.009736,            0.009736,            0.009736
                  10,            0.042905,            0.028944,           0.0069063,             0.79567,             0.43287,               0.475,             0.22975,              0.0394,            0.020384,           0.0054846,            0.009703,            0.009703,            0.009703
                  11,            0.042426,            0.028555,            0.006631,             0.81356,             0.44698,              0.4936,             0.24136,            0.038731,            0.020199,           0.0050489,             0.00967,             0.00967,             0.00967
                  12,            0.041878,            0.028439,           0.0062788,             0.83087,             0.44438,             0.50513,             0.24235,            0.038547,            0.020013,           0.0048992,            0.009637,            0.009637,            0.009637
                  13,            0.041676,            0.028206,           0.0060837,             0.82734,             0.46084,             0.52417,             0.25849,            0.037892,             0.01981,           0.0045092,            0.009604,            0.009604,            0.009604
