               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071385,             0.03872,            0.027022,             0.43015,             0.25408,             0.15781,            0.063624,            0.052826,            0.023297,            0.015388,            0.070092,           0.0033231,           0.0033231
                   1,            0.055775,            0.030746,            0.013898,             0.47002,             0.33304,              0.2468,             0.11434,            0.044769,            0.021868,            0.010965,             0.04007,           0.0066345,           0.0066345
                   2,            0.050206,            0.029734,            0.010999,             0.59473,             0.38094,             0.33008,             0.14816,            0.042744,             0.02203,           0.0084338,            0.010026,           0.0099238,           0.0099238
                   3,            0.045118,            0.029162,           0.0088492,             0.75877,             0.39633,             0.43048,             0.20221,            0.040842,            0.020899,            0.006848,            0.009901,            0.009901,            0.009901
                   4,            0.043044,             0.02823,           0.0075865,             0.80677,             0.41925,             0.46732,             0.22149,            0.039452,            0.020412,           0.0058892,            0.009901,            0.009901,            0.009901
                   5,            0.041975,            0.028078,             0.00688,             0.81437,             0.42859,             0.47979,              0.2348,            0.038926,             0.02016,           0.0054126,            0.009868,            0.009868,            0.009868
                   6,            0.041221,             0.02776,           0.0064768,             0.82948,               0.439,             0.50232,             0.24506,            0.038332,            0.020044,           0.0050331,            0.009835,            0.009835,            0.009835
                   7,            0.040785,            0.027461,           0.0061115,             0.82832,             0.44498,             0.51317,             0.25347,             0.03802,            0.019805,           0.0047669,            0.009802,            0.009802,            0.009802
                   8,            0.040156,            0.027338,           0.0058389,             0.82943,             0.45331,             0.52864,              0.2573,            0.037964,            0.019755,           0.0046363,            0.009769,            0.009769,            0.009769
                   9,            0.039985,            0.027084,           0.0056014,             0.83677,               0.462,             0.53543,             0.26562,            0.037455,            0.019668,           0.0044234,            0.009736,            0.009736,            0.009736
                  10,            0.039652,            0.027274,           0.0055192,             0.85007,             0.46411,             0.55301,             0.27722,            0.037364,            0.019535,           0.0042223,            0.009703,            0.009703,            0.009703
                  11,            0.039351,            0.026959,            0.005325,             0.84311,             0.47277,             0.55685,             0.27759,            0.037069,            0.019462,           0.0039416,             0.00967,             0.00967,             0.00967
                  12,            0.039045,            0.026938,           0.0051229,              0.7658,             0.52056,             0.57396,              0.2863,            0.037108,            0.019384,           0.0038447,            0.009637,            0.009637,            0.009637
                  13,             0.03902,            0.026805,            0.005012,             0.81985,             0.51028,             0.58782,             0.29686,            0.036808,            0.019247,           0.0037697,            0.009604,            0.009604,            0.009604
                  14,            0.038793,            0.026893,           0.0050338,              0.7907,             0.52925,             0.60055,             0.29703,            0.036546,            0.019167,            0.003704,            0.009571,            0.009571,            0.009571
                  15,            0.038502,             0.02644,           0.0048912,             0.79609,             0.53385,             0.60721,             0.30259,            0.036558,            0.019137,           0.0035825,            0.009538,            0.009538,            0.009538
                  16,            0.038448,            0.026516,           0.0048047,             0.82615,             0.53635,             0.62266,             0.31211,            0.036343,            0.019042,           0.0035227,            0.009505,            0.009505,            0.009505
                  17,            0.038347,            0.026402,           0.0047702,             0.78316,             0.55653,             0.62589,             0.31572,            0.035994,            0.018997,           0.0034041,            0.009472,            0.009472,            0.009472
                  18,            0.038123,            0.026214,           0.0046606,             0.79381,             0.55654,             0.62435,             0.31554,            0.035966,            0.018974,           0.0033515,            0.009439,            0.009439,            0.009439
                  19,             0.03815,            0.026293,           0.0046306,             0.79266,             0.58329,             0.63358,             0.32195,            0.035753,            0.018846,           0.0032398,            0.009406,            0.009406,            0.009406
                  20,            0.037923,            0.026048,           0.0045078,             0.80146,             0.57225,             0.63854,             0.32664,            0.035773,            0.018783,           0.0032292,            0.009373,            0.009373,            0.009373
                  21,            0.037867,            0.026201,           0.0044767,             0.82848,             0.56971,             0.64477,             0.32389,            0.035583,            0.018804,           0.0031521,             0.00934,             0.00934,             0.00934
                  22,            0.037752,            0.025983,           0.0044154,             0.82753,             0.56945,             0.64457,             0.33277,            0.035247,             0.01862,            0.003103,            0.009307,            0.009307,            0.009307
                  23,            0.037671,            0.025883,           0.0043731,             0.80779,             0.59555,             0.65637,             0.33597,            0.035312,            0.018635,           0.0030387,            0.009274,            0.009274,            0.009274
                  24,            0.037559,            0.025799,            0.004353,             0.84337,             0.58673,             0.66202,             0.34097,            0.035108,            0.018569,           0.0029903,            0.009241,            0.009241,            0.009241
                  25,            0.037445,            0.025861,           0.0042594,              0.8223,             0.59818,             0.66169,             0.33949,            0.034952,            0.018495,           0.0029666,            0.009208,            0.009208,            0.009208
                  26,            0.037334,            0.025834,           0.0043245,             0.82342,             0.60446,             0.66757,             0.34328,            0.034857,            0.018443,             0.00286,            0.009175,            0.009175,            0.009175
                  27,            0.037332,            0.025777,           0.0043258,              0.8419,             0.60064,             0.67434,             0.34715,            0.034755,            0.018379,           0.0028807,            0.009142,            0.009142,            0.009142
                  28,              0.0373,            0.025953,           0.0041934,             0.82666,             0.61616,             0.67633,             0.35111,            0.034713,            0.018366,           0.0028099,            0.009109,            0.009109,            0.009109
                  29,            0.037138,            0.025783,           0.0042098,             0.84862,              0.6067,             0.67911,             0.34945,            0.034662,            0.018317,           0.0027567,            0.009076,            0.009076,            0.009076
                  30,            0.036902,             0.02562,           0.0040578,             0.85014,             0.60495,             0.67612,             0.35128,            0.034511,            0.018275,           0.0027566,            0.009043,            0.009043,            0.009043
                  31,            0.036993,            0.025603,           0.0041704,             0.84011,             0.61322,             0.67996,             0.35429,            0.034437,            0.018238,           0.0027174,             0.00901,             0.00901,             0.00901
                  32,            0.036898,            0.025763,            0.004083,             0.84036,             0.61847,             0.68344,             0.35503,            0.034305,            0.018208,           0.0026744,            0.008977,            0.008977,            0.008977
                  33,            0.036868,             0.02569,           0.0040668,             0.85194,             0.61024,             0.68601,              0.3583,            0.034298,            0.018154,           0.0026437,            0.008944,            0.008944,            0.008944
                  34,            0.036721,            0.025695,            0.004024,             0.86364,             0.61571,              0.6915,             0.36039,            0.034204,            0.018129,           0.0026046,            0.008911,            0.008911,            0.008911
                  35,            0.036739,            0.025385,           0.0040579,             0.84095,             0.62529,              0.6932,             0.36304,            0.034097,            0.018104,           0.0026002,            0.008878,            0.008878,            0.008878
                  36,            0.036586,            0.025547,           0.0039976,             0.85188,             0.62266,             0.69668,             0.36422,            0.034037,            0.018061,           0.0025849,            0.008845,            0.008845,            0.008845
                  37,            0.036569,            0.025316,           0.0039995,             0.85689,             0.62401,             0.69604,             0.36567,            0.033977,            0.018041,           0.0025869,            0.008812,            0.008812,            0.008812
                  38,            0.036481,            0.025359,           0.0039636,             0.85645,             0.62174,             0.69573,             0.36685,             0.03393,            0.018017,           0.0025552,            0.008779,            0.008779,            0.008779
                  39,             0.03634,            0.025421,           0.0039624,             0.85342,             0.62499,              0.6991,             0.36919,            0.033863,            0.017995,           0.0025346,            0.008746,            0.008746,            0.008746
                  40,            0.036462,            0.025349,           0.0039472,             0.85392,             0.62932,             0.70043,             0.37035,            0.033809,             0.01797,           0.0025196,            0.008713,            0.008713,            0.008713
                  41,            0.036401,            0.025339,           0.0038806,             0.85752,             0.63243,             0.70255,             0.37141,            0.033784,             0.01795,           0.0025004,             0.00868,             0.00868,             0.00868
                  42,            0.036379,            0.025389,           0.0038799,             0.85708,             0.63551,             0.70395,             0.37369,            0.033728,            0.017931,           0.0024807,            0.008647,            0.008647,            0.008647
                  43,            0.036289,            0.025278,            0.003891,             0.85793,             0.63767,             0.70632,               0.375,            0.033693,             0.01791,           0.0024617,            0.008614,            0.008614,            0.008614
                  44,            0.036179,            0.025342,           0.0038903,             0.85592,             0.64318,             0.70776,             0.37717,            0.033648,            0.017892,           0.0024424,            0.008581,            0.008581,            0.008581
                  45,            0.036165,            0.025215,           0.0039169,              0.8581,             0.64184,             0.70962,              0.3778,            0.033591,            0.017871,           0.0024337,            0.008548,            0.008548,            0.008548
                  46,            0.036125,            0.025248,           0.0038581,             0.86108,             0.63987,             0.70977,             0.37767,            0.033552,            0.017852,           0.0024265,            0.008515,            0.008515,            0.008515
                  47,            0.036087,            0.025048,           0.0038834,             0.85979,             0.64346,             0.71176,             0.37919,            0.033506,            0.017834,           0.0024201,            0.008482,            0.008482,            0.008482
                  48,             0.03595,            0.024983,           0.0038229,              0.8594,             0.64753,             0.71295,              0.3794,            0.033471,             0.01782,            0.002412,            0.008449,            0.008449,            0.008449
                  49,            0.036046,            0.025121,           0.0038136,             0.85924,             0.64792,             0.71396,             0.38005,            0.033445,            0.017802,           0.0024055,            0.008416,            0.008416,            0.008416
                  50,             0.03592,            0.025005,            0.003832,              0.8581,             0.64867,             0.71378,             0.38051,            0.033417,            0.017783,           0.0023996,            0.008383,            0.008383,            0.008383
                  51,             0.03582,             0.02523,           0.0037532,             0.85887,             0.64759,             0.71464,               0.381,            0.033382,            0.017769,           0.0023909,             0.00835,             0.00835,             0.00835
                  52,            0.035877,            0.025122,           0.0038193,             0.85627,             0.64972,             0.71496,             0.38136,            0.033351,            0.017753,           0.0023839,            0.008317,            0.008317,            0.008317
                  53,             0.03577,             0.02509,           0.0037677,             0.85346,             0.65215,             0.71525,             0.38127,             0.03332,             0.01774,           0.0023769,            0.008284,            0.008284,            0.008284
                  54,            0.035801,            0.025049,           0.0037255,             0.85326,             0.65314,             0.71669,               0.382,             0.03329,            0.017727,           0.0023703,            0.008251,            0.008251,            0.008251
                  55,            0.035709,            0.024997,            0.003795,             0.85081,             0.65474,              0.7163,             0.38213,            0.033267,            0.017717,           0.0023649,            0.008218,            0.008218,            0.008218
                  56,            0.035721,            0.024791,           0.0037467,             0.85456,             0.65356,             0.71695,             0.38258,            0.033244,            0.017706,           0.0023601,            0.008185,            0.008185,            0.008185
                  57,             0.03583,            0.024964,           0.0037278,             0.85405,             0.65263,             0.71727,             0.38312,            0.033224,            0.017694,           0.0023538,            0.008152,            0.008152,            0.008152
                  58,            0.035806,            0.025044,           0.0037314,             0.85345,             0.65318,             0.71786,             0.38353,            0.033207,            0.017684,           0.0023481,            0.008119,            0.008119,            0.008119
                  59,            0.035621,            0.024855,           0.0036655,             0.85655,              0.6543,                0.72,             0.38409,            0.033186,            0.017674,           0.0023425,            0.008086,            0.008086,            0.008086
                  60,            0.035575,            0.024808,           0.0037068,             0.85754,             0.65366,             0.72006,             0.38461,            0.033165,            0.017663,           0.0023373,            0.008053,            0.008053,            0.008053
                  61,             0.03547,            0.025078,           0.0036091,             0.85574,             0.65543,             0.72019,             0.38515,            0.033148,            0.017653,           0.0023333,             0.00802,             0.00802,             0.00802
                  62,            0.035534,            0.024726,           0.0036482,             0.85693,             0.65513,             0.71922,             0.38513,            0.033131,            0.017643,           0.0023293,            0.007987,            0.007987,            0.007987
                  63,            0.035496,            0.024733,           0.0036885,             0.85869,              0.6551,             0.71997,             0.38576,            0.033118,            0.017635,           0.0023258,            0.007954,            0.007954,            0.007954
                  64,             0.03544,            0.024638,           0.0037063,             0.85967,             0.65457,             0.72042,             0.38592,            0.033104,            0.017626,           0.0023225,            0.007921,            0.007921,            0.007921
                  65,            0.035366,            0.024807,           0.0035983,             0.86026,             0.65542,             0.72019,              0.3858,            0.033091,            0.017617,           0.0023196,            0.007888,            0.007888,            0.007888
                  66,            0.035489,            0.024838,           0.0037051,             0.86089,             0.65648,             0.72172,               0.386,            0.033077,            0.017609,           0.0023157,            0.007855,            0.007855,            0.007855
                  67,            0.035278,            0.024748,           0.0036167,             0.86249,             0.65612,             0.72147,             0.38649,            0.033065,            0.017602,            0.002312,            0.007822,            0.007822,            0.007822
                  68,            0.035327,            0.024811,           0.0036193,             0.86369,              0.6544,             0.72234,             0.38682,            0.033047,            0.017593,            0.002308,            0.007789,            0.007789,            0.007789
                  69,            0.035155,            0.024705,           0.0036213,             0.86355,             0.65357,             0.72192,              0.3866,             0.03303,            0.017584,           0.0023035,            0.007756,            0.007756,            0.007756
                  70,            0.035342,            0.024952,           0.0036099,             0.86312,             0.65511,             0.72186,             0.38693,            0.033016,            0.017577,            0.002299,            0.007723,            0.007723,            0.007723
                  71,            0.035138,            0.024619,           0.0035433,              0.8627,             0.65704,             0.72283,             0.38719,            0.033002,            0.017569,           0.0022942,             0.00769,             0.00769,             0.00769
                  72,            0.035254,            0.024815,           0.0036131,             0.86112,             0.65705,             0.72264,             0.38787,            0.032986,            0.017561,           0.0022896,            0.007657,            0.007657,            0.007657
                  73,              0.0351,            0.024558,           0.0036275,             0.85782,             0.66018,             0.72278,             0.38761,             0.03297,            0.017554,           0.0022855,            0.007624,            0.007624,            0.007624
                  74,             0.03508,             0.02475,           0.0035411,             0.85756,             0.66014,             0.72303,             0.38795,            0.032953,            0.017547,           0.0022806,            0.007591,            0.007591,            0.007591
                  75,            0.035271,            0.024734,            0.003563,             0.85733,              0.6608,             0.72227,             0.38726,            0.032938,            0.017539,           0.0022761,            0.007558,            0.007558,            0.007558
                  76,            0.035119,            0.024874,           0.0035734,               0.858,             0.66152,             0.72264,             0.38708,            0.032922,            0.017533,           0.0022725,            0.007525,            0.007525,            0.007525
                  77,            0.034951,            0.024582,           0.0035194,             0.85889,             0.66162,             0.72313,             0.38773,            0.032906,            0.017526,           0.0022682,            0.007492,            0.007492,            0.007492
                  78,            0.035083,            0.024725,           0.0035958,             0.85622,             0.66101,             0.72214,              0.3881,            0.032891,             0.01752,           0.0022642,            0.007459,            0.007459,            0.007459
                  79,            0.034984,            0.024515,            0.003545,             0.85595,             0.66259,             0.72241,             0.38841,            0.032876,            0.017512,           0.0022599,            0.007426,            0.007426,            0.007426
                  80,            0.034978,            0.024661,           0.0035667,             0.85671,             0.66289,             0.72285,             0.38885,            0.032866,            0.017506,           0.0022564,            0.007393,            0.007393,            0.007393
                  81,            0.034918,            0.024517,           0.0035246,             0.85769,             0.66229,             0.72332,             0.38887,            0.032851,            0.017498,           0.0022528,             0.00736,             0.00736,             0.00736
                  82,            0.034853,            0.024494,           0.0034367,             0.85696,             0.66171,             0.72386,             0.38926,            0.032836,            0.017492,           0.0022497,            0.007327,            0.007327,            0.007327
                  83,            0.034931,             0.02435,           0.0035269,             0.85584,             0.66344,             0.72391,             0.38933,             0.03282,            0.017485,           0.0022464,            0.007294,            0.007294,            0.007294
                  84,            0.034824,            0.024519,           0.0034963,             0.85646,             0.66347,              0.7241,             0.38927,            0.032806,            0.017478,           0.0022438,            0.007261,            0.007261,            0.007261
                  85,            0.034927,            0.024327,           0.0035367,              0.8575,             0.66278,             0.72423,              0.3895,            0.032792,            0.017469,           0.0022413,            0.007228,            0.007228,            0.007228
                  86,            0.034803,            0.024267,           0.0034807,             0.85743,             0.66352,             0.72477,             0.39023,            0.032774,            0.017462,           0.0022388,            0.007195,            0.007195,            0.007195
                  87,            0.034758,            0.024313,            0.003479,             0.85734,             0.66261,             0.72523,             0.39057,            0.032759,            0.017455,           0.0022363,            0.007162,            0.007162,            0.007162
                  88,            0.034921,            0.024496,           0.0035161,             0.85735,             0.66257,             0.72525,              0.3905,            0.032746,            0.017448,            0.002234,            0.007129,            0.007129,            0.007129
                  89,            0.034816,            0.024682,           0.0034681,             0.85663,             0.66342,             0.72531,              0.3909,            0.032732,            0.017441,           0.0022318,            0.007096,            0.007096,            0.007096
