   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.91037,             0.71865,             0.77932,             0.45999,            0.034469,            0.017958,           0.0020587,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.89274,             0.72103,             0.77058,             0.44362,            0.036034,            0.021622,           0.0023091,             0.01155,                0.01,               0.937,             0.00054,                   3,             0.82255,             0.09266,             0.04681,              0.5122,              1.0192,              1.1051,             0.99637,                 0.2,                   4,                   0,             0.01692,             0.72619,             0.44768,                   0,             0.08735,             0.51014,                   0,                   0,                   0,                 0.5,              0.9602,                   0,                   0,              2.3379
             0.89609,             0.71627,             0.77237,             0.45577,             0.03545,            0.018272,           0.0020816,             0.01029,             0.01005,             0.94212,              0.0005,              2.9778,             0.78589,             0.10113,                0.05,             0.48647,                   1,              0.9993,              1.0078,                 0.2,              4.0147,                   0,             0.01478,             0.70789,              0.3969,                   0,             0.09988,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.9668
             0.89503,             0.72538,             0.77398,             0.44726,            0.035726,            0.019077,           0.0021196,             0.01029,             0.01009,              0.9534,              0.0005,              2.9809,             0.81073,             0.09952,                0.05,             0.48837,                   1,              1.0337,              1.0078,                 0.2,              4.0147,                   0,              0.0143,             0.70558,              0.3945,                   0,             0.09917,                 0.5,                   0,                   0,                   0,                 0.5,             0.98944,                   0,                   0,              3.0804
             0.90216,             0.72262,             0.77757,             0.46026,            0.034046,            0.017421,           0.0019676,             0.01029,                0.01,             0.94584,              0.0005,              2.9809,             0.81073,             0.10114,             0.04886,             0.47121,                   1,             0.96117,             0.99674,                 0.2,              4.0791,                   0,             0.01472,             0.66735,              0.3945,                   0,             0.09299,             0.48336,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.0804
             0.89694,             0.72412,             0.77545,             0.45263,            0.035198,            0.014708,           0.0021172,             0.00942,             0.01081,              0.9534,             0.00051,              2.7794,             0.82311,             0.11156,             0.05027,             0.46884,                1.21,             0.80923,              1.0078,                 0.2,              3.9791,                   0,              0.0122,             0.70558,              0.3945,                   0,             0.09531,                 0.5,                   0,                   0,                   0,                 0.5,             0.95528,                   0,                   0,              3.0804
             0.90542,             0.72366,             0.78115,             0.45559,            0.028964,             0.01476,           0.0019136,             0.00942,             0.01098,              0.9534,             0.00052,              2.7794,             0.82311,             0.11039,             0.04244,             0.43597,              1.1864,             0.78144,              1.1649,                 0.2,              3.7428,                   0,              0.0122,             0.70558,             0.38105,                   0,             0.10096,             0.54802,                   0,                   0,                   0,                 0.5,             0.85299,                   0,                   0,              3.4991
              0.9069,             0.72339,             0.78195,             0.46671,            0.033193,             0.01784,           0.0020101,              0.0092,             0.01005,             0.94042,              0.0005,              2.7572,             0.71839,             0.10754,             0.04917,             0.48647,              1.0165,              1.0127,              1.0207,                 0.2,              3.9149,                   0,             0.01393,             0.68908,             0.39621,                   0,             0.09586,             0.46244,                   0,                   0,                   0,                 0.5,             0.98642,                   0,                   0,              3.1248
              0.9011,             0.71958,             0.77425,             0.45427,            0.034723,            0.018103,           0.0021667,             0.01019,                0.01,               0.937,             0.00051,              2.9697,                 0.8,                 0.1,             0.04965,             0.50897,              1.0281,                   1,             0.98256,                 0.2,              4.0213,                   0,             0.01523,                 0.7,             0.39943,                   0,             0.09929,             0.50126,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.8591
             0.90182,             0.71813,              0.7768,             0.45722,            0.034396,            0.019502,           0.0021346,             0.01021,                0.01,             0.94443,             0.00054,              3.0689,             0.81955,             0.09906,                0.05,             0.51035,              1.0214,               1.089,                   1,                 0.2,                   4,                   0,              0.0153,             0.75487,             0.36849,                   0,             0.09611,             0.51579,                   0,                   0,                   0,                 0.5,             0.94635,                   0,                   0,              3.0883
             0.89841,             0.71427,             0.76704,             0.43639,            0.030273,            0.026299,           0.0024365,              0.0109,                0.01,             0.94443,             0.00046,              3.2232,             0.81955,             0.07486,             0.04611,             0.57896,              1.0214,              1.4747,              1.0487,                 0.2,                   4,                   0,              0.0153,             0.81323,             0.30363,                   0,             0.08761,              0.4149,                   0,                   0,                   0,                 0.5,             0.83095,                   0,                   0,              5.0036
             0.88559,             0.71089,             0.77034,             0.44026,            0.035633,            0.019378,           0.0023089,             0.01087,                0.01,             0.96873,             0.00053,               3.262,              0.8449,             0.09906,                0.05,             0.51035,              1.0275,               1.089,             0.90137,                 0.2,              4.0355,                   0,             0.01627,             0.68509,             0.38465,                   0,             0.09554,             0.52159,                   0,                   0,                   0,                 0.5,             0.94635,                   0,                   0,              2.5483
             0.88201,              0.6907,             0.75548,             0.41376,            0.031316,            0.021235,            0.002613,              0.0095,                0.01,             0.97864,             0.00039,              2.8282,             0.83373,             0.09317,             0.03993,             0.53517,              1.0278,              1.1217,              1.0411,                 0.2,              3.2837,                   0,             0.01518,             0.73448,             0.45323,                   0,             0.09316,             0.48904,                   0,                   0,                   0,                 0.5,             0.94635,                   0,                   0,              2.2958
             0.90896,             0.72108,             0.77669,             0.46499,            0.033849,            0.019008,           0.0017741,             0.00895,             0.01107,             0.93687,             0.00075,              3.1945,                0.95,             0.08351,                0.05,             0.43635,              1.0214,               1.089,                   1,                 0.2,              3.9238,                   0,             0.01661,             0.57604,              0.3321,                   0,             0.10275,             0.46636,                   0,                   0,                   0,                 0.5,             0.94635,                   0,                   0,              3.0883
             0.89653,             0.72461,             0.77104,             0.45079,            0.040693,            0.013203,           0.0023748,               0.009,                0.01,              0.9266,             0.00036,              3.1326,             0.84751,             0.10049,             0.05394,             0.55901,                   1,             0.76935,             0.81645,                 0.2,                   4,                   0,             0.01625,                 0.7,                 0.4,                   0,             0.11367,             0.55644,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   2
             0.90585,             0.74205,             0.78468,             0.48036,             0.03298,            0.019398,           0.0014918,             0.01116,                0.01,              0.8596,              0.0005,              3.4082,             0.74389,                 0.1,                0.05,             0.39818,              0.8746,                   1,              1.2386,                 0.2,              3.9768,                   0,             0.01532,             0.48242,             0.44969,                   0,             0.09896,             0.45415,                   0,                   0,                   0,                 0.5,             0.95545,                   0,                   0,              2.5856
             0.90544,             0.72481,             0.77022,             0.45109,            0.031086,            0.020634,           0.0019389,             0.00801,             0.01075,             0.93291,             0.00069,              2.9855,                0.95,             0.08323,             0.04921,             0.44394,              1.0214,              1.1374,              1.1495,                 0.2,              3.9238,                   0,             0.01696,             0.58822,             0.32771,                   0,             0.08595,             0.46942,                   0,                   0,                   0,                 0.5,             0.94635,                   0,                   0,              3.6689
             0.90624,             0.73369,             0.78191,             0.47666,            0.028139,            0.021685,            0.001548,             0.01006,                0.01,             0.90631,             0.00063,              2.9067,                0.95,             0.09669,             0.04075,             0.36297,             0.96972,               1.089,              1.1261,                 0.2,              4.6577,                   0,             0.01734,             0.58224,             0.36358,                   0,             0.09117,             0.27696,                   0,                   0,                   0,                 0.5,             0.73159,                   0,                   0,              3.0883
             0.91087,             0.72564,             0.77624,             0.46442,            0.034137,            0.019166,            0.001828,               0.009,             0.01095,             0.93906,             0.00075,               3.241,             0.94904,             0.08475,                0.05,             0.43635,              1.0283,              1.0843,              1.0014,                 0.2,              3.9238,                   0,             0.01643,              0.5778,             0.33192,                   0,             0.10376,             0.46636,                   0,                   0,                   0,                 0.5,             0.93606,                   0,                   0,              3.1909
             0.89473,             0.71594,             0.76769,             0.43676,            0.040236,            0.017781,           0.0019595,              0.0092,             0.01131,             0.96516,              0.0006,              3.0517,             0.86172,             0.09935,             0.05668,              0.4211,              1.1278,              1.1112,             0.81186,                 0.2,              3.7196,                   0,             0.01456,             0.68908,             0.43628,                   0,             0.08232,             0.52983,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.3284
