               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.035974,            0.023643,           0.0026434,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.070069,           0.0033257,           0.0033257
                   1,            0.035753,            0.022604,           0.0028127,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.03941,           0.0059998,           0.0059998
                   2,            0.038257,            0.025958,           0.0036505,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0080905,           0.0080139,           0.0080139
                   3,            0.040354,            0.027749,           0.0043644,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                   4,            0.039863,            0.027008,           0.0040395,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                   5,            0.038616,            0.026353,           0.0036465,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                   6,            0.037582,             0.02559,           0.0033998,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                   7,            0.036588,            0.024624,           0.0031455,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                   8,            0.035389,            0.023917,           0.0028554,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                   9,            0.034383,            0.023042,           0.0027064,             0.91037,             0.71865,             0.77932,             0.45999,            0.034469,            0.017958,           0.0020587,             0.00208,             0.00208,             0.00208
                   0,            0.055208,            0.037605,            0.018362,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.065685,           0.0038411,           0.0038411
                   1,            0.045751,            0.028811,           0.0062028,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.037887,           0.0069297,           0.0069297
                   2,            0.044699,            0.032042,           0.0057133,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009327,            0.009256,            0.009256
                   3,            0.044894,            0.033979,           0.0056501,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0081196,           0.0081196,           0.0081196
                   4,            0.043612,            0.033292,           0.0050468,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0081196,           0.0081196,           0.0081196
                   5,             0.04199,            0.031898,           0.0043937,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0069762,           0.0069762,           0.0069762
                   6,            0.040728,            0.030825,           0.0040861,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0058327,           0.0058327,           0.0058327
                   7,            0.039399,            0.029983,           0.0036733,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0046893,           0.0046893,           0.0046893
                   8,            0.038293,            0.029367,           0.0033309,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0035459,           0.0035459,           0.0035459
                   9,            0.037054,            0.028159,           0.0031001,             0.89274,             0.72103,             0.77058,             0.44362,            0.036034,            0.021622,           0.0023091,           0.0024024,           0.0024024,           0.0024024
