               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.021106,            0.007297,           0.0018492,             0.92215,              0.7411,              0.7971,             0.46905,            0.022348,           0.0054094,           0.0017035,            0.055202,           0.0024153,           0.0024153
                   1,            0.020878,           0.0056901,           0.0018798,              0.9153,             0.74284,             0.79711,             0.46501,            0.021944,           0.0050924,            0.001798,            0.034172,             0.00483,             0.00483
                   2,            0.021345,           0.0055971,           0.0020679,             0.91845,              0.7306,             0.78907,             0.46021,              0.0218,           0.0049519,           0.0018924,            0.013134,           0.0072368,           0.0072368
                   3,             0.02119,           0.0055265,            0.002219,             0.91215,             0.72364,              0.7871,             0.44986,            0.021848,           0.0050049,            0.001926,           0.0078314,           0.0078314,           0.0078314
                   4,            0.020824,           0.0054452,           0.0021797,             0.90564,             0.72638,             0.78538,             0.46401,            0.021925,           0.0050684,           0.0020107,           0.0078314,           0.0078314,           0.0078314
                   5,            0.020503,           0.0054271,           0.0021637,             0.90726,              0.7357,              0.7878,             0.47043,            0.021212,           0.0049136,           0.0018179,           0.0078185,           0.0078185,           0.0078185
                   6,            0.020372,           0.0053799,           0.0021178,             0.91787,             0.74036,               0.809,             0.49365,            0.020607,            0.004722,           0.0018028,           0.0078056,           0.0078056,           0.0078056
                   7,            0.020299,           0.0053251,           0.0021208,             0.92093,             0.72566,             0.78972,             0.46945,            0.021458,           0.0049352,           0.0018544,           0.0077927,           0.0077927,           0.0077927
                   8,            0.020183,           0.0053136,           0.0021101,             0.91959,             0.73846,             0.80294,             0.48707,            0.020974,           0.0048341,           0.0017787,           0.0077798,           0.0077798,           0.0077798
                   9,            0.020012,           0.0052883,           0.0020554,             0.91563,             0.74221,             0.78858,             0.48225,            0.020847,           0.0047923,           0.0017555,            0.007767,            0.007767,            0.007767
                  10,            0.019979,           0.0053149,           0.0021114,             0.91889,             0.72923,             0.79189,             0.48112,            0.020995,             0.00483,           0.0017606,           0.0077541,           0.0077541,           0.0077541
                  11,             0.01992,           0.0052854,           0.0020876,             0.92894,             0.72871,             0.78499,             0.47268,            0.021287,           0.0048974,            0.001798,           0.0077412,           0.0077412,           0.0077412
                  12,            0.019872,           0.0053139,           0.0020694,             0.91614,              0.7412,             0.79968,             0.48021,            0.020913,           0.0048418,           0.0017862,           0.0077283,           0.0077283,           0.0077283
                  13,             0.01985,           0.0052727,           0.0020099,             0.92023,             0.73249,             0.79629,             0.49099,            0.020685,           0.0047778,           0.0017267,           0.0077154,           0.0077154,           0.0077154
                  14,            0.019798,           0.0052978,           0.0020607,             0.92059,             0.72241,             0.80019,             0.48643,            0.020723,           0.0047693,            0.001709,           0.0077026,           0.0077026,           0.0077026
                  15,            0.019717,           0.0052268,           0.0020499,             0.92168,             0.72725,             0.79595,             0.48231,            0.020939,           0.0048302,           0.0017001,           0.0076897,           0.0076897,           0.0076897
                  16,            0.019773,           0.0052787,           0.0020511,             0.92752,             0.73796,             0.79943,             0.49708,             0.02048,           0.0047382,           0.0017292,           0.0076768,           0.0076768,           0.0076768
                  17,            0.019758,            0.005273,            0.002071,             0.91706,             0.74115,             0.79498,             0.48329,            0.020626,           0.0047709,           0.0017117,           0.0076639,           0.0076639,           0.0076639
                  18,            0.019744,           0.0052122,           0.0020554,              0.9248,             0.74227,             0.80864,             0.49682,            0.020503,           0.0047477,            0.001664,            0.007651,            0.007651,            0.007651
                  19,            0.019683,           0.0052555,           0.0020122,             0.92436,             0.74029,             0.79631,             0.49565,            0.020321,           0.0046917,            0.001687,           0.0076381,           0.0076381,           0.0076381
                  20,            0.019595,           0.0052199,           0.0020084,             0.92477,             0.73843,             0.79667,             0.49944,            0.020285,           0.0046596,           0.0016783,           0.0076253,           0.0076253,           0.0076253
                  21,            0.019596,           0.0052145,           0.0020042,             0.91823,              0.7489,             0.80113,              0.5011,            0.020231,           0.0046742,           0.0016311,           0.0076124,           0.0076124,           0.0076124
                  22,            0.019587,           0.0052077,           0.0019612,             0.92694,             0.73844,             0.79357,             0.50364,            0.020073,           0.0046552,           0.0016378,           0.0075995,           0.0075995,           0.0075995
                  23,            0.019536,           0.0051964,           0.0019742,              0.9229,             0.74492,             0.80161,             0.50504,            0.020079,           0.0046514,           0.0016253,           0.0075866,           0.0075866,           0.0075866
                  24,            0.019476,           0.0052019,           0.0019897,             0.91795,             0.74566,             0.80736,             0.50525,            0.020206,           0.0046627,           0.0016626,           0.0075737,           0.0075737,           0.0075737
                  25,            0.019491,            0.005207,           0.0019742,             0.92502,              0.7437,             0.81738,             0.50624,            0.020039,           0.0046237,           0.0016542,           0.0075609,           0.0075609,           0.0075609
                  26,            0.019546,           0.0052253,           0.0020163,             0.92414,              0.7446,             0.80864,             0.51017,            0.019984,           0.0046321,            0.001641,            0.007548,            0.007548,            0.007548
                  27,            0.019509,           0.0052274,            0.001997,             0.92136,             0.74424,             0.80457,             0.50362,            0.020025,           0.0046244,           0.0015946,           0.0075351,           0.0075351,           0.0075351
                  28,            0.019506,           0.0052414,           0.0019962,             0.92668,             0.74101,             0.79934,             0.50639,            0.019906,           0.0045927,            0.001591,           0.0075222,           0.0075222,           0.0075222
                  29,            0.019454,           0.0052162,           0.0020659,              0.9242,             0.74618,             0.80722,             0.50994,            0.019832,           0.0045819,           0.0015683,           0.0075093,           0.0075093,           0.0075093
                  30,            0.019289,           0.0051822,           0.0019455,             0.92942,             0.74447,             0.80936,             0.50714,            0.019843,           0.0045821,           0.0015806,           0.0074965,           0.0074965,           0.0074965
                  31,            0.019404,            0.005183,           0.0020096,             0.93325,             0.74351,             0.80253,             0.50801,            0.019729,           0.0045678,           0.0015621,           0.0074836,           0.0074836,           0.0074836
